Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 25/11/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 28/11/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 28/11/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 28/11/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 29/11/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 29/11/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 29/11/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 29/11/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 29/11/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 29/11/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 30/11/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 30/11/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 30/11/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 01/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 01/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 01/12/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 02/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 02/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 02/12/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 03/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 03/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 03/12/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 04/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 04/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 04/12/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 05/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 05/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 05/12/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 06/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 06/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 06/12/24, hora: 20:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 08:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 12:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 16:00
Nombre: Cancha de futbol, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 20:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 08:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 12:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 16:00
Nombre: Cancha de baloncesto, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 20:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 07/12/24, hora: 08:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: false, fecha: 07/12/24, hora: 12:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 16:00
Nombre: Gimnasio, tipo: deportivo, disponibilidad: true, fecha: 07/12/24, hora: 20:00
Nombre: Cancha de voleibol, tipo: deportivo, disponibilidad: true, fecha: 08/12/24, hora: 08:00
Nombre: Cancha de voleibol, tipo: deportivo, disponibilidad: true, fecha: 08/12/24, hora: 12:00
Nombre: Cancha de voleibol, tipo: deportivo, disponibilidad: true, fecha: 08/12/24, hora: 16:00
